partipcod,parnom,disnom,cornom,nivel,latitud,longitud,tipodet,ts,nivel_lbl
1,Av ALFREDO BENAVIDES (TRAMO: AV LARCO - PANAMERICANA SUR)-AV CAMINOS DEL INCA,Santiago De Surco,NA,1,-12.130001,-76.981712,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av ALFREDO BENAVIDES (TRAMO: AV LARCO - PANAMERICANA SUR)-AV HIGUERETA,Santiago De Surco,NA,1,-12.128636,-77.000366,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av ALFREDO BENAVIDES (TRAMO: AV LARCO - PANAMERICANA SUR)-AV VELASCO ASTETE,Santiago De Surco,NA,1,-12.127777,-76.987228,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av ALFREDO BENAVIDES (TRAMO: AV LARCO - PANAMERICANA SUR)-CA ARTESANOS,Santiago De Surco,NA,1,-12.12965,-76.982635,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av ALFREDO BENAVIDES (TRAMO: AV LARCO - PANAMERICANA SUR)-CA BATALLON CALLAO,Santiago De Surco,NA,1,-12.128521,-76.984879,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av ALFREDO BENAVIDES (TRAMO: AV LARCO - PANAMERICANA SUR)-JR LEFN GARCEA,Santiago De Surco,NA,1,-12.128306,-76.995819,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av ALFREDO BENAVIDES (TRAMO: AV LARCO - PANAMERICANA SUR)-JR PRECIADOS,Santiago De Surco,NA,1,-12.128617,-76.999596,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av ALFREDO BENAVIDES (TRAMO: AV LARCO - PANAMERICANA SUR)-PANAMERICANA SUR,Santiago De Surco,NA,1,-12.13107,-76.97747,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Benavides-Av Aviacion (Nvalo Cabitos),Santiago De Surco,NA,1,-12.128945,-77.00174,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Benavides-Av Aviacion (Ov Los Cabitos),Santiago De Surco,NA,1,-12.128945,-77.00174,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Benavides-Av Gral Montagne,Miraflores,NA,1,-12.127133,-77.012756,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Benavides-Av La Merced,Miraflores,NA,1,-12.127664,-77.00972,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Benavides-Av Larco,Miraflores,NA,2,-12.124567,-77.029503,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Alfredo Benavides-Av Paseo De La Repeblica,Miraflores,NA,2,-12.125325,-77.023628,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Alfredo Benavides-Av Ramirez Gaston,Miraflores,NA,1,-12.127571,-77.009331,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Benavides-Av Republica De Panama,Miraflores,NA,1,-12.126309,-77.017952,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Benavides-Ca A (Entrada La Cuadra 23 Y 24),Santiago De Surco,NA,1,-12.127986,-77.007706,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Benavides-Ca De La Fuente,Miraflores,NA,1,-12.125841,-77.020943,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Benavides-Ca Galeano,Santiago De Surco,NA,1,-12.128424,-76.996956,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfredo Benavides-Ca La Paz,Miraflores,NA,2,-12.124924,-77.026764,Transporte Regular,2021-05-15T20:22:17Z,Alto
